name;nombre;country_code
Afghanistan;Afganistán;AFG
Albania;Albania;ALB
Germany;Alemania;DEU
Andorra;Andorra;AND
Angola;Angola;AGO
Anguilla;Anguila;AIA
Antarctica;Antártida;ATA
Antigua and Barbuda;Antigua y Barbuda;ATG
Saudi Arabia;Arabia Saudita;SAU
Algeria;Argelia;DZA
Argentina;Argentina;ARG
Armenia;Armenia;ARM
Aruba;Aruba;ABW
Australia;Australia;AUS
Austria;Austria;AUT
Azerbaijan;Azerbaiyán;AZE
Bahamas;Bahamas;BHS
Bahrain;Bahrein;BHR
Bangladesh;Bangladesh;BGD
Barbados;Barbados;BRB
Belgium;Bélgica;BEL
Belize;Belice;BLZ
Benin;Benín;BEN
Bermuda;Bermudas;BMU
Belarus;Bielorrusia;BLR
Bolivia;Bolivia;BOL
Bosnia and Herzegovina;Bosnia y Herzegovina;BIH
Botswana;Botsuana;BWA
Brazil;Brasil;BRA
Brunei;Brunéi;BRN
Bulgaria;Bulgaria;BGR
Burkina Faso;Burkina Faso;BFA
Burundi;Burundi;BDI
Bhutan;Bután;BTN
Cabo Verde;Cabo Verde;CPV
Cambodia;Camboya;KHM
Cameroon;Camerún;CMR
Canada;Canadá;CAN
Chad;Chad;TCD
Chile;Chile;CHL
China;China;CHN
Cyprus;Chipre;CYP
Colombia;Colombia;COL
Comoros;Comoras;COM
Congo;Congo;COG
North Korea;Corea del Norte;PRK
South Korea;Corea del Sur;KOR
Ivory Coast;Costa de Marfil;CIV
Costa Rica;Costa Rica;CRI
Croatia;Croacia;HRV
Cuba;Cuba;CUB
Curaçao;Curaçao;CUW
Denmark;Dinamarca;DNK
Dominica;Dominica;DMA
Ecuador;Ecuador;ECU
Egypt;Egipto;EGY
El Salvador;El Salvador;SLV
United Arab Emirates;Emiratos Árabes Unidos;ARE
Eritrea;Eritrea;ERI
Slovakia;Eslovaquia;SVK
Slovenia;Eslovenia;SVN
Spain;España;ESP
United States;Estados Unidos;USA
Estonia;Estonia;EST
Eswatini;Esuatini;SWZ
Ethiopia;Etiopía;ETH
Philippines;Filipinas;PHL
Finland;Finlandia;FIN
Fiji;Fiyi;FJI
France;Francia;FRA
Gabon;Gabón;GAB
Gambia;Gambia;GMB
Georgia;Georgia;GEO
Ghana;Ghana;GHA
Gibraltar;Gibraltar;GIB
Grenada;Granada;GRD
Greece;Grecia;GRC
Greenland;Groenlandia;GRL
Guadeloupe;Guadalupe;GLP
Guam;Guam;GUM
Guatemala;Guatemala;GTM
French Guiana;Guayana Francesa;GUF
Guernsey;Guernsey;GGY
Guinea;Guinea;GIN
Equatorial Guinea;Guinea Ecuatorial;GNQ
Guinea-Bissau;Guinea-Bissau;GNB
Guyana;Guyana;GUY
Haiti;Haití;HTI
Honduras;Honduras;HND
Hong Kong;Hong Kong;HKG
Hungary;Hungría;HUN
India;India;IND
Indonesia;Indonesia;IDN
Iran;Irán;IRN
Iraq;Iraq;IRQ
Ireland;Irlanda;IRL
Isle of Man;Isla de Man;IMN
Norfolk Island;Isla Norfolk;NFK
Iceland;Islandia;ISL
Åland Islands;Islas Aland;ALA
Cayman Islands;Islas Caimán;CYM
Cocos Islands;Islas Cocos;CCK
Cook Islands;Islas Cook;COK
Faroe Islands;Islas Feroe;FRO
South Georgia;Islas Georgias del Sur;SGS
