tipo_analisis,grupo,variable,valor,detalle
columnas_problematicas,columna,des_tasa_pobreza,76.44,
columnas_problematicas,columna,edu_literacy_rate,86.67,
columnas_problematicas,columna,elec_private_investment_energy,76.44,
duplicados,dataset,duplicados_country_code,0.0,
duplicados,dataset,duplicados_totales,0.0,
info_general,dataset,duplicados_country_code_detectados,0.0,
info_general,dataset,n_columnas,32.0,
info_general,dataset,n_filas,225.0,
info_general,dataset,n_paises_unicos,225.0,
n_variables_analizadas_pais,ABW,n_variables_analizadas,30.0,
n_variables_analizadas_pais,AFG,n_variables_analizadas,30.0,
n_variables_analizadas_pais,AGO,n_variables_analizadas,30.0,
n_variables_analizadas_pais,AIA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,ALB,n_variables_analizadas,30.0,
n_variables_analizadas_pais,AND,n_variables_analizadas,30.0,
n_variables_analizadas_pais,ARE,n_variables_analizadas,30.0,
n_variables_analizadas_pais,ARG,n_variables_analizadas,30.0,
n_variables_analizadas_pais,ARM,n_variables_analizadas,30.0,
n_variables_analizadas_pais,ASM,n_variables_analizadas,30.0,
n_variables_analizadas_pais,ATG,n_variables_analizadas,30.0,
n_variables_analizadas_pais,AUS,n_variables_analizadas,30.0,
n_variables_analizadas_pais,AUT,n_variables_analizadas,30.0,
n_variables_analizadas_pais,AZE,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BDI,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BEL,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BEN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BFA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BGD,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BGR,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BHR,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BHS,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BIH,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BLR,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BLZ,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BMU,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BOL,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BRA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BRB,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BRN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BTN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,BWA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CAF,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CAN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CHE,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CHI,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CHL,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CHN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CIV,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CMR,n_variables_analizadas,30.0,
n_variables_analizadas_pais,COD,n_variables_analizadas,30.0,
n_variables_analizadas_pais,COG,n_variables_analizadas,30.0,
n_variables_analizadas_pais,COK,n_variables_analizadas,30.0,
n_variables_analizadas_pais,COL,n_variables_analizadas,30.0,
n_variables_analizadas_pais,COM,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CPV,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CRI,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CUB,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CUW,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CYM,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CYP,n_variables_analizadas,30.0,
n_variables_analizadas_pais,CZE,n_variables_analizadas,30.0,
n_variables_analizadas_pais,DEU,n_variables_analizadas,30.0,
n_variables_analizadas_pais,DJI,n_variables_analizadas,30.0,
n_variables_analizadas_pais,DMA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,DNK,n_variables_analizadas,30.0,
n_variables_analizadas_pais,DOM,n_variables_analizadas,30.0,
n_variables_analizadas_pais,DZA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,ECU,n_variables_analizadas,30.0,
n_variables_analizadas_pais,EGY,n_variables_analizadas,30.0,
n_variables_analizadas_pais,ERI,n_variables_analizadas,30.0,
n_variables_analizadas_pais,ESP,n_variables_analizadas,30.0,
n_variables_analizadas_pais,EST,n_variables_analizadas,30.0,
n_variables_analizadas_pais,ETH,n_variables_analizadas,30.0,
n_variables_analizadas_pais,FIN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,FJI,n_variables_analizadas,30.0,
n_variables_analizadas_pais,FRA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,FRO,n_variables_analizadas,30.0,
n_variables_analizadas_pais,FSM,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GAB,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GBR,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GEO,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GHA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GIB,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GIN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GMB,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GNB,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GNQ,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GRC,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GRD,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GRL,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GTM,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GUM,n_variables_analizadas,30.0,
n_variables_analizadas_pais,GUY,n_variables_analizadas,30.0,
n_variables_analizadas_pais,HKG,n_variables_analizadas,30.0,
n_variables_analizadas_pais,HND,n_variables_analizadas,30.0,
n_variables_analizadas_pais,HRV,n_variables_analizadas,30.0,
n_variables_analizadas_pais,HTI,n_variables_analizadas,30.0,
n_variables_analizadas_pais,HUN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,IDN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,IMN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,IND,n_variables_analizadas,30.0,
n_variables_analizadas_pais,IRL,n_variables_analizadas,30.0,
n_variables_analizadas_pais,IRN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,IRQ,n_variables_analizadas,30.0,
n_variables_analizadas_pais,ISL,n_variables_analizadas,30.0,
n_variables_analizadas_pais,ISR,n_variables_analizadas,30.0,
n_variables_analizadas_pais,ITA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,JAM,n_variables_analizadas,30.0,
n_variables_analizadas_pais,JOR,n_variables_analizadas,30.0,
n_variables_analizadas_pais,JPN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,KAZ,n_variables_analizadas,30.0,
n_variables_analizadas_pais,KEN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,KGZ,n_variables_analizadas,30.0,
n_variables_analizadas_pais,KHM,n_variables_analizadas,30.0,
n_variables_analizadas_pais,KIR,n_variables_analizadas,30.0,
n_variables_analizadas_pais,KNA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,KOR,n_variables_analizadas,30.0,
n_variables_analizadas_pais,KWT,n_variables_analizadas,30.0,
n_variables_analizadas_pais,LAO,n_variables_analizadas,30.0,
n_variables_analizadas_pais,LBN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,LBR,n_variables_analizadas,30.0,
n_variables_analizadas_pais,LBY,n_variables_analizadas,30.0,
n_variables_analizadas_pais,LCA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,LIE,n_variables_analizadas,30.0,
n_variables_analizadas_pais,LKA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,LSO,n_variables_analizadas,30.0,
n_variables_analizadas_pais,LTU,n_variables_analizadas,30.0,
n_variables_analizadas_pais,LUX,n_variables_analizadas,30.0,
n_variables_analizadas_pais,LVA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MAC,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MAF,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MAR,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MCO,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MDA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MDG,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MDV,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MEX,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MHL,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MKD,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MLI,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MLT,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MMR,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MNE,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MNG,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MNP,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MOZ,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MRT,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MSR,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MTQ,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MUS,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MWI,n_variables_analizadas,30.0,
n_variables_analizadas_pais,MYS,n_variables_analizadas,30.0,
n_variables_analizadas_pais,NAM,n_variables_analizadas,30.0,
n_variables_analizadas_pais,NCL,n_variables_analizadas,30.0,
n_variables_analizadas_pais,NER,n_variables_analizadas,30.0,
n_variables_analizadas_pais,NGA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,NIC,n_variables_analizadas,30.0,
n_variables_analizadas_pais,NIU,n_variables_analizadas,30.0,
n_variables_analizadas_pais,NLD,n_variables_analizadas,30.0,
n_variables_analizadas_pais,NOR,n_variables_analizadas,30.0,
n_variables_analizadas_pais,NPL,n_variables_analizadas,30.0,
n_variables_analizadas_pais,NRU,n_variables_analizadas,30.0,
n_variables_analizadas_pais,NZL,n_variables_analizadas,30.0,
n_variables_analizadas_pais,OMN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,PAK,n_variables_analizadas,30.0,
n_variables_analizadas_pais,PAN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,PER,n_variables_analizadas,30.0,
n_variables_analizadas_pais,PHL,n_variables_analizadas,30.0,
n_variables_analizadas_pais,PLW,n_variables_analizadas,30.0,
n_variables_analizadas_pais,PNG,n_variables_analizadas,30.0,
n_variables_analizadas_pais,POL,n_variables_analizadas,30.0,
n_variables_analizadas_pais,PRI,n_variables_analizadas,30.0,
n_variables_analizadas_pais,PRK,n_variables_analizadas,30.0,
n_variables_analizadas_pais,PRT,n_variables_analizadas,30.0,
n_variables_analizadas_pais,PRY,n_variables_analizadas,30.0,
n_variables_analizadas_pais,PSE,n_variables_analizadas,30.0,
n_variables_analizadas_pais,PYF,n_variables_analizadas,30.0,
n_variables_analizadas_pais,QAT,n_variables_analizadas,30.0,
n_variables_analizadas_pais,REU,n_variables_analizadas,30.0,
n_variables_analizadas_pais,ROU,n_variables_analizadas,30.0,
n_variables_analizadas_pais,RUS,n_variables_analizadas,30.0,
n_variables_analizadas_pais,RWA,n_variables_analizadas,30.0,
n_variables_analizadas_pais,SAU,n_variables_analizadas,30.0,
n_variables_analizadas_pais,SDN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,SEN,n_variables_analizadas,30.0,
n_variables_analizadas_pais,SGP,n_variables_analizadas,30.0,
n_variables_analizadas_pais,SHN,n_variables_analizadas,30.0,
